dataset, model, score, time execution
00, LogisticRegression, 0.85, 29.69
01, LogisticRegression, 0.876, 19.72
02, LogisticRegression, 0.876, 24.45
03, LogisticRegression, 0.882, 21.03
04, LogisticRegression, 0.873, 23.31
10, LogisticRegression, 0.85, 28.08
11, LogisticRegression, 0.884, 21.25
12, LogisticRegression, 0.87, 25.11
13, LogisticRegression, 0.878, 20.42
14, LogisticRegression, 0.889, 25.21
20, LogisticRegression, 0.87, 48.51
21, LogisticRegression, 0.9, 42.22
22, LogisticRegression, 0.874, 40.88
23, LogisticRegression, 0.89, 37.11
24, LogisticRegression, 0.834, 50.32
00, DecisionTreeClassifier, 0.856, 137.69
01, DecisionTreeClassifier, 0.883, 100.13
02, DecisionTreeClassifier, 0.857, 126.45
03, DecisionTreeClassifier, 0.875, 95.61
04, DecisionTreeClassifier, 0.862, 116.64
10, DecisionTreeClassifier, 0.851, 134.15
11, DecisionTreeClassifier, 0.863, 94.54
12, DecisionTreeClassifier, 0.843, 120.6
13, DecisionTreeClassifier, 0.876, 92.36
14, DecisionTreeClassifier, 0.857, 111.19
20, DecisionTreeClassifier, 0.852, 130.84
21, DecisionTreeClassifier, 0.876, 96.04
22, DecisionTreeClassifier, 0.845, 120.49
23, DecisionTreeClassifier, 0.877, 92.5
24, DecisionTreeClassifier, 0.862, 115.92
00, RandomForestClassifier, 0.544, 237.21
01, RandomForestClassifier, 0.597, 193.72
00, XGBClassifier, 0.836, 29.85
01, XGBClassifier, 0.874, 21.39
02, XGBClassifier, 0.861, 26.12
03, XGBClassifier, 0.874, 20.19
04, XGBClassifier, 0.851, 23.54
10, XGBClassifier, 0.837, 27.26
11, XGBClassifier, 0.872, 20.63
12, XGBClassifier, 0.847, 25.21
13, XGBClassifier, 0.894, 19.68
14, XGBClassifier, 0.847, 23.41
20, XGBClassifier, 0.833, 27.56
21, XGBClassifier, 0.859, 20.51
22, XGBClassifier, 0.845, 25.25
23, XGBClassifier, 0.853, 19.58
24, XGBClassifier, 0.848, 23.51
